city,zip
"Horgoš, RS","24410, RS"
"Palić, RS","24413, RS"
"Bački Vinogradi, RS","24415, RS"
"Hajdukovo, RS","24415, RS"
"Male Pijace, RS","24416, RS"
"Martonoš, RS","24417, RS"
"Šupljak, RS","24418, RS"
"Kanjiža, RS","24420, RS"
"Adorjan, RS","24425, RS"
"Trešnjevac, RS","24426, RS"
"Totovo Selo, RS","24427, RS"
"Ada, RS","24430, RS"
"Mol, RS","24435, RS"
"Utrine, RS","24437, RS"
"Sombor, RS","25101, RS"
"Čonoplja, RS","25210, RS"
"Svetozar Miletić, RS","25211, RS"
"Aleksa Šantić, RS","25212, RS"
"Crvenka, RS","25220, RS"
"Kljajićevo, RS","25221, RS"
"Telečka, RS","25222, RS"
"Sivac, RS","25223, RS"
"Nova Crvenka, RS","25224, RS"
"Kruščić, RS","25225, RS"
"Kula, RS","25230, RS"
"Lipar, RS","25232, RS"
"Ruski Krstur, RS","25233, RS"
"Lalić, RS","25234, RS"
"Stapar, RS","25240, RS"
"Bački Brestovac, RS","25242, RS"
"Doroslovo, RS","25243, RS"
"Srpski Miletić, RS","25244, RS"
"Bogojevo, RS","25245, RS"
"Odžaci, RS","25250, RS"
"Bački Gračac, RS","25252, RS"
"Ratkovo, RS","25253, RS"
"Deronje, RS","25254, RS"
"Karavukovo, RS","25255, RS"
"Apatin, RS","25260, RS"
"Kupusina, RS","25262, RS"
"Prigrevica, RS","25263, RS"
"Sonta, RS","25264, RS"
"Svilojevo, RS","25265, RS"
"Bezdan, RS","25270, RS"
"Bački Monoštor, RS","25272, RS"
"Kolut, RS","25274, RS"
"Bački Breg, RS","25275, RS"
"Riđica, RS","25280, RS"
"Gakovo, RS","25282, RS"
"Rastina, RS","25283, RS"
"Stanišić, RS","25284, RS"
"Pančevo, RS","26101, RS"
"Jabuka, RS","26201, RS"
"Glogonj, RS","26202, RS"
"Sefkerin, RS","26203, RS"
"Opovo, RS","26204, RS"
